CLASE ACCIDENTE,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-CORREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CODIGO,CONDICION DE LA VICTIMA,GRAVEDAD,EDAD,GENERO,LESIONADOS Y MUERTOS,CLINICA,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
DAÑOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T15:30:00.000,MAÑANA,LUNES,SANTA BARBARA,CALLE 31 CARRERA 46,URBANA,TECNICO,3.52914,-76.31746,GIRAR BRUSCAMENTE,122,NO APLICA,CHOQUE,28,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T15:30:00.000,MAÑANA,LUNES,SANTA BARBARA,CALLE 31 CARRERA 46,URBANA,TECNICO,3.52914,-76.31746,GIRAR BRUSCAMENTE,122,NO APLICA,CHOQUE,29,FEMENINA,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T04:30:00.000,MAÑANA,LUNES,CENTRO,CALLE 31 CARRERA 24,URBANA,TECNICO,3.52755,-76.29545,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,64,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/03/2022 12:00:00 AM,"2,022",1899-12-31T08:30:00.000,MAÑANA,LUNES,CENTRO,CALLE 31 CARRERA 24,URBANA,TECNICO,3.52755,-76.29545,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,62,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/04/2022 12:00:00 AM,"2,022",1899-12-31T17:20:00.000,TARDE,MARTES,CENTRO COMERCIAL LLANOGRANDE,PARQUIADERO,URBANA,TECNICO,3.52776,-76.31709,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,48,FEMENINA,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/04/2022 12:00:00 AM,"2,022",1899-12-31T17:20:00.000,TARDE,MARTES,CENTRO COMERCIAL LLANOGRANDE,PARQUIADERO,URBANA,TECNICO,3.52776,-76.31709,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,22,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/05/2022 12:00:00 AM,"2,022",1899-12-31T17:30:00.000,TARDE,MIERCOLES,COLOMBIA,CALLE 31 CARRERA 21,URBANA,TECNICO,3.5272,-76.29292,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,29,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/05/2022 12:00:00 AM,"2,022",1899-12-31T17:30:00.000,TARDE,MIERCOLES,COLOMBIA,CALLE 31 CARRERA 21,URBANA,TECNICO,3.5272,-76.29292,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,41,FEMENINA,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T17:45:00.000,TARDE,JUEVES,INDUSTRIAL,CALLE 42 CARRERA 37--35,URBANA,TECNICO,3.53889,-76.30849,CAMBIO DE CARRIL CON O SIN INDICACION,157,NO APLICA,CHOQUE,38,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T17:45:00.000,TARDE,JUEVES,INDUSTRIAL,CALLE 42 CARRERA 37--35,URBANA,TECNICO,3.53889,-76.30849,CAMBIO DE CARRIL CON O SIN INDICACION,157,NO APLICA,CHOQUE,50,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T14:50:00.000,TARDE,VIERNES,CENTRO,CALLE 29 CARRERA 31,URBANA,TECNICO,3.52651,-76.30183,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,75,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T14:50:00.000,TARDE,VIERNES,CENTRO,CALLE 29 CARRERA 31,URBANA,TECNICO,3.52651,-76.30183,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,26,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T16:00:00.000,TARDE,VIERNES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.53897,-76.30649,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,57,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T16:00:00.000,TARDE,VIERNES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.53897,-76.30649,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,26,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T18:30:00.000,NOCHE,VIERNES,PRADO,CALLE 35 CARRERA 44,URBANA,TECNICO,3.53219,-76.3149,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,23,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T18:30:00.000,NOCHE,VIERNES,PRADO,CALLE 35 CARRERA 44,URBANA,TECNICO,3.53219,-76.3149,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,28,FEMENINA,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/08/2022 12:00:00 AM,"2,022",1899-12-31T10:50:00.000,MAÑANA,SABADO,DELICIAS,CALLE 26 CARRERA 26-21,URBANA,TECNICO,3.52348,-76.29837,ABRIR LA PUERTA SIN PRECAUCION,506,NO APLICA,CHOQUE,27,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/08/2022 12:00:00 AM,"2,022",1899-12-31T10:50:00.000,MAÑANA,SABADO,DELICIAS,CALLE 26 CARRERA 26-21,URBANA,TECNICO,3.52348,-76.29837,ABRIR LA PUERTA SIN PRECAUCION,506,NO APLICA,CHOQUE,41,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/09/2022 12:00:00 AM,"2,022",1899-12-31T00:30:00.000,MADRUGADA,DOMINGO,COLOMBIA,CALLE 35 CARRERA 29,URBANA,TECNICO,3.53208,-76.29902,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,36,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/09/2022 12:00:00 AM,"2,022",1899-12-31T00:30:00.000,MADRUGADA,DOMINGO,COLOMBIA,CALLE 35 CARRERA 29,URBANA,TECNICO,3.53208,-76.29902,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,35,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/10/2022 12:00:00 AM,"2,022",1899-12-31T15:00:00.000,TARDE,LUNES,BARRIO NUEVO,CALLLE 27 CARRERA 32,URBANA,TECNICO,3.52495,-76.3029,GIRAR BRUSCAMENTE,122,NO APLICA,CHOQUE,58,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/10/2022 12:00:00 AM,"2,022",1899-12-31T15:00:00.000,TARDE,LUNES,BARRIO NUEVO,CALLLE 27 CARRERA 32,URBANA,TECNICO,3.52495,-76.3029,GIRAR BRUSCAMENTE,122,NO APLICA,CHOQUE,29,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/10/2022 12:00:00 AM,"2,022",1899-12-31T17:40:00.000,TARDE,LUNES,CENTRO,CALLE 30 CARRERA 33,URBANA,TECNICO,3.52755,-76.30334,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,45,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/10/2022 12:00:00 AM,"2,022",1899-12-31T17:40:00.000,TARDE,LUNES,CENTRO,CALLE 30 CARRERA 33,URBANA,TECNICO,3.52755,-76.30334,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,59,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/11/2022 12:00:00 AM,"2,022",1899-12-31T11:40:00.000,MAÑANA,MARTES,VERSALLES,CALLE 42 CARRERA 28,URBANA,TECNICO,3.53787,-76.29704,GIRAR BRUSCAMENTE,122,NO APLICA,CHOQUE,30,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/11/2022 12:00:00 AM,"2,022",1899-12-31T11:40:00.000,MAÑANA,MARTES,VERSALLES,CALLE 42 CARRERA 28,URBANA,TECNICO,3.53787,-76.29704,GIRAR BRUSCAMENTE,122,NO APLICA,CHOQUE,57,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T11:40:00.000,MAÑANA,SABADO,VIA PRODESAL - LA TINAJA,KM 9 + 200 MTS,RURAL,POLICIA,3.5458,-76.41464,OTRA,157,NO APLICA,CHOQUE,28,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/07/2022 12:00:00 AM,"2,022",1899-12-31T11:00:00.000,MAÑANA,VIERNES,VIA CALI - PALMIRA NORTE,KM 9+ 300 MTS,RURAL,POLICIA,3.50973,-76.404,PONER EN MARCHA VEHICULO SIN PRECAUCION,143,NO APLICA,CHOQUE,29,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/14/2022 12:00:00 AM,"2,022",1899-12-31T23:00:00.000,NOCHE,VIERNES,VIA CALI - PALMIRA NORTE,KM 16 + 700 MTS,RURAL,POLICIA,3.52378,-76.34186,OTRA,157,NO APLICA,CHOQUE,32,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/06/2022 12:00:00 AM,"2,022",1899-12-31T07:25:00.000,MAÑANA,JUEVES,VIA CENCAR - AEREOPUERTO,KM 9 + 100 MTS,RURAL,POLICIA,3.54511,-76.41464,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,30,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/12/2022 12:00:00 AM,"2,022",1899-12-31T10:40:00.000,MAÑANA,MIERCOLES,VIA PALMIRA GUAYABAL,KM 1,RURAL,TECNICO,3.54453,-76.26754,ARRANCAR SIN PRECAUCION,145,NO APLICA,CHOQUE,76,FEMENINA,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/12/2022 12:00:00 AM,"2,022",1899-12-31T10:40:00.000,MAÑANA,MIERCOLES,VIA PALMIRA GUAYABAL,KM 1,RURAL,TECNICO,3.54453,-76.26754,ARRANCAR SIN PRECAUCION,145,NO APLICA,CHOQUE,56,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,OFICIAL,N/A
